History output component,gradient.NDTEMP.T
Time [s] Frequency [Hz],67295 [°C],67297 [°C],68586 [°C],68587 [°C],68588 [°C],68589 [°C],68590 [°C],68591 [°C],68592 [°C],68593 [°C],68594 [°C],68595 [°C],68596 [°C],68597 [°C],68598 [°C],68599 [°C],68600 [°C],68601 [°C],68602 [°C],68603 [°C],68604 [°C],68605 [°C],68606 [°C],68607 [°C],68608 [°C],68609 [°C],68610 [°C],68611 [°C],68612 [°C],68613 [°C],68614 [°C],68615 [°C],68616 [°C],68617 [°C],68618 [°C],68619 [°C],68620 [°C],68621 [°C],68622 [°C],68623 [°C],68624 [°C],68625 [°C],68626 [°C],68627 [°C],68628 [°C],68629 [°C],68630 [°C],68631 [°C],68632 [°C],68633 [°C],68634 [°C],68635 [°C],68636 [°C],68637 [°C],68638 [°C],68639 [°C],68640 [°C],68641 [°C],68642 [°C],68643 [°C],68644 [°C],68645 [°C],68646 [°C],68647 [°C],68648 [°C],68649 [°C],68650 [°C],68651 [°C],68652 [°C],68653 [°C],68654 [°C],68655 [°C],68656 [°C],68657 [°C],68658 [°C],68659 [°C],68660 [°C],68661 [°C],68662 [°C],68663 [°C],68664 [°C],68665 [°C],68666 [°C],68667 [°C],68668 [°C],68669 [°C],68670 [°C],68671 [°C],68672 [°C],68673 [°C],68674 [°C],68675 [°C],68676 [°C],68677 [°C],68678 [°C],68679 [°C],68680 [°C],68681 [°C],68682 [°C],68683 [°C],68684 [°C],68685 [°C],68686 [°C],68687 [°C],68688 [°C],68689 [°C],68690 [°C],68691 [°C],68692 [°C],68693 [°C],68694 [°C],68695 [°C],68696 [°C],68697 [°C],68698 [°C],68699 [°C],68700 [°C],68701 [°C],68702 [°C],68703 [°C],68704 [°C],142971 [°C],143516 [°C],143518 [°C],143521 [°C],143524 [°C],143527 [°C],143530 [°C],143533 [°C],143536 [°C],143539 [°C],143542 [°C],143545 [°C],143548 [°C],143551 [°C],143554 [°C],143557 [°C],143560 [°C],143563 [°C],143566 [°C],143569 [°C],143572 [°C],143575 [°C],143578 [°C],143581 [°C],143584 [°C],143587 [°C],143590 [°C],143593 [°C],143596 [°C],143599 [°C],143602 [°C],143605 [°C],143608 [°C],143611 [°C],143614 [°C],143617 [°C],143620 [°C],143623 [°C],143626 [°C],143629 [°C],143632 [°C],143635 [°C],143638 [°C],143641 [°C],143644 [°C],143647 [°C],143650 [°C],143653 [°C],143656 [°C],143659 [°C],143662 [°C],143665 [°C],143668 [°C],143671 [°C],143674 [°C],143677 [°C],143680 [°C],143683 [°C],143686 [°C],143689 [°C],143692 [°C],143695 [°C],143895 [°C],143899 [°C],143903 [°C],143906 [°C],143909 [°C],143912 [°C],143915 [°C],143918 [°C],143921 [°C],143924 [°C],143927 [°C],143930 [°C],143933 [°C],143936 [°C],143939 [°C],143942 [°C],143945 [°C],143948 [°C],143951 [°C],143954 [°C],143957 [°C],143960 [°C],143963 [°C],143966 [°C],143969 [°C],143972 [°C],143975 [°C],143978 [°C],143981 [°C],143984 [°C],143987 [°C],143990 [°C],143993 [°C],143996 [°C],143999 [°C],144002 [°C],144005 [°C],144008 [°C],144011 [°C],144014 [°C],144017 [°C],144020 [°C],144023 [°C],144026 [°C],144029 [°C],144032 [°C],144035 [°C],144038 [°C],144041 [°C],144044 [°C],144047 [°C],144050 [°C],144053 [°C],144056 [°C],144059 [°C],144062 [°C],144065 [°C],144068 [°C]
1,32.3818016052246,31.3155994415283,32.3828010559082,32.3849983215332,32.3884010314941,32.3931999206543,32.3983001708984,32.4042015075684,32.4115982055664,32.4188995361328,32.4269981384277,32.4369010925293,32.4464988708496,32.4570007324219,32.469898223877,32.4822998046875,32.4957008361816,32.5120010375977,32.5278015136719,32.5448989868164,32.5657997131348,32.5861015319824,32.6083984375,32.636100769043,32.6637992858887,32.6949005126953,32.7345008850098,32.7750015258789,32.8227996826172,32.8919982910156,32.9762001037598,33.0905990600586,33.250301361084,33.4067993164063,33.5719985961914,33.7678985595703,33.951301574707,34.1441993713379,34.3734016418457,34.5889015197754,34.8162994384766,35.0878982543945,35.3445014953613,35.6167984008789,35.9441986083984,36.2559013366699,36.5895004272461,36.9944000244141,37.3843994140625,37.807300567627,38.328800201416,38.8406982421875,39.4076995849609,40.1262016296387,40.8549995422363,41.6870002746582,42.7372016906738,43.6395988464355,44.3993988037109,45.0064010620117,45.3160018920898,45.4076995849609,45.2500991821289,44.8785018920898,44.290699005127,43.3869018554688,42.4290008544922,41.4682006835938,40.5000991821289,39.747200012207,39.0772018432617,38.402400970459,37.8596992492676,37.3613014221191,36.845401763916,36.4207000732422,36.0233993530273,35.6050987243652,35.2556991577148,34.9249992370605,34.5730018615723,34.2759017944336,33.9925003051758,33.6883010864258,33.4297981262207,33.1814994812012,32.9136009216309,32.6846008300781,32.4637985229492,32.2246017456055,32.0214996337891,31.8358993530273,31.6711006164551,31.5706005096436,31.5011005401611,31.4463005065918,31.410400390625,31.3824996948242,31.3582000732422,31.3419990539551,31.3302993774414,31.3218002319336,31.3169994354248,31.3141002655029,31.3122997283936,31.3115005493164,31.31130027771,31.3113994598389,31.3118000030518,31.3122005462646,31.3127002716064,31.3131999969482,31.3136005401611,31.3139991760254,31.3143997192383,31.3146991729736,31.3148994445801,31.3152008056641,31.315299987793,31.3155002593994,31.3155002593994,32.3819999694824,31.3155002593994,32.3838005065918,32.3907012939453,32.4011993408203,32.4151992797852,32.4318008422852,32.4516983032227,32.476001739502,32.5037002563477,32.5360984802246,32.5756988525391,32.621898651123,32.6789016723633,32.7540016174316,32.8548011779785,33.0293006896973,33.3274002075195,33.6685981750488,34.0466003417969,34.4796981811523,34.9499015808105,35.4785995483398,36.0974006652832,36.7877006530762,37.5914993286133,38.578498840332,39.7550010681152,41.2570991516113,43.2005004882813,44.7369003295898,45.3890991210938,45.0914993286133,43.8689002990723,41.9398002624512,40.1122016906738,38.7304000854492,37.6054000854492,36.6293983459473,35.8106994628906,35.0881996154785,34.4226989746094,33.8385009765625,33.3044013977051,32.7980003356934,32.3428993225098,31.9256000518799,31.6161003112793,31.471399307251,31.3955993652344,31.3495006561279,31.3255004882813,31.3153991699219,31.3118000030518,31.31130027771,31.3120002746582,31.3129005432129,31.3138008117676,31.3145008087158,31.3150997161865,31.3153991699219,31.3155002593994,32.3956985473633,32.3866004943848,32.4077987670898,32.4229011535645,32.4416007995605,32.4632987976074,32.488899230957,32.5196990966797,32.5550994873047,32.5970001220703,32.649600982666,32.7140998840332,32.7977981567383,32.9306983947754,33.1674995422363,33.4883995056152,33.8585014343262,34.2571983337402,34.701099395752,35.214298248291,35.7775993347168,36.4197998046875,37.1856002807617,38.0615005493164,39.1166000366211,40.4786987304688,42.2001991271973,44.0443000793457,45.1884002685547,45.3633995056152,44.611499786377,42.9185981750488,40.967098236084,39.4029998779297,38.125,37.0979995727539,36.2187995910645,35.4280014038086,34.7464981079102,34.1325988769531,33.5577011108398,33.0461006164551,32.5732002258301,32.1217002868652,31.7462005615234,31.5328006744385,31.4270992279053,31.369499206543,31.335599899292,31.3190994262695,31.3131008148193,31.3113994598389,31.3115997314453,31.3124008178711,31.3134002685547,31.3141994476318,31.3148002624512,31.3152008056641
End component
History output component,gradient.COORDINATES.X
Time [s] Frequency [Hz],67295 [mm],67297 [mm],68586 [mm],68587 [mm],68588 [mm],68589 [mm],68590 [mm],68591 [mm],68592 [mm],68593 [mm],68594 [mm],68595 [mm],68596 [mm],68597 [mm],68598 [mm],68599 [mm],68600 [mm],68601 [mm],68602 [mm],68603 [mm],68604 [mm],68605 [mm],68606 [mm],68607 [mm],68608 [mm],68609 [mm],68610 [mm],68611 [mm],68612 [mm],68613 [mm],68614 [mm],68615 [mm],68616 [mm],68617 [mm],68618 [mm],68619 [mm],68620 [mm],68621 [mm],68622 [mm],68623 [mm],68624 [mm],68625 [mm],68626 [mm],68627 [mm],68628 [mm],68629 [mm],68630 [mm],68631 [mm],68632 [mm],68633 [mm],68634 [mm],68635 [mm],68636 [mm],68637 [mm],68638 [mm],68639 [mm],68640 [mm],68641 [mm],68642 [mm],68643 [mm],68644 [mm],68645 [mm],68646 [mm],68647 [mm],68648 [mm],68649 [mm],68650 [mm],68651 [mm],68652 [mm],68653 [mm],68654 [mm],68655 [mm],68656 [mm],68657 [mm],68658 [mm],68659 [mm],68660 [mm],68661 [mm],68662 [mm],68663 [mm],68664 [mm],68665 [mm],68666 [mm],68667 [mm],68668 [mm],68669 [mm],68670 [mm],68671 [mm],68672 [mm],68673 [mm],68674 [mm],68675 [mm],68676 [mm],68677 [mm],68678 [mm],68679 [mm],68680 [mm],68681 [mm],68682 [mm],68683 [mm],68684 [mm],68685 [mm],68686 [mm],68687 [mm],68688 [mm],68689 [mm],68690 [mm],68691 [mm],68692 [mm],68693 [mm],68694 [mm],68695 [mm],68696 [mm],68697 [mm],68698 [mm],68699 [mm],68700 [mm],68701 [mm],68702 [mm],68703 [mm],68704 [mm],142971 [mm],143516 [mm],143518 [mm],143521 [mm],143524 [mm],143527 [mm],143530 [mm],143533 [mm],143536 [mm],143539 [mm],143542 [mm],143545 [mm],143548 [mm],143551 [mm],143554 [mm],143557 [mm],143560 [mm],143563 [mm],143566 [mm],143569 [mm],143572 [mm],143575 [mm],143578 [mm],143581 [mm],143584 [mm],143587 [mm],143590 [mm],143593 [mm],143596 [mm],143599 [mm],143602 [mm],143605 [mm],143608 [mm],143611 [mm],143614 [mm],143617 [mm],143620 [mm],143623 [mm],143626 [mm],143629 [mm],143632 [mm],143635 [mm],143638 [mm],143641 [mm],143644 [mm],143647 [mm],143650 [mm],143653 [mm],143656 [mm],143659 [mm],143662 [mm],143665 [mm],143668 [mm],143671 [mm],143674 [mm],143677 [mm],143680 [mm],143683 [mm],143686 [mm],143689 [mm],143692 [mm],143695 [mm],143895 [mm],143899 [mm],143903 [mm],143906 [mm],143909 [mm],143912 [mm],143915 [mm],143918 [mm],143921 [mm],143924 [mm],143927 [mm],143930 [mm],143933 [mm],143936 [mm],143939 [mm],143942 [mm],143945 [mm],143948 [mm],143951 [mm],143954 [mm],143957 [mm],143960 [mm],143963 [mm],143966 [mm],143969 [mm],143972 [mm],143975 [mm],143978 [mm],143981 [mm],143984 [mm],143987 [mm],143990 [mm],143993 [mm],143996 [mm],143999 [mm],144002 [mm],144005 [mm],144008 [mm],144011 [mm],144014 [mm],144017 [mm],144020 [mm],144023 [mm],144026 [mm],144029 [mm],144032 [mm],144035 [mm],144038 [mm],144041 [mm],144044 [mm],144047 [mm],144050 [mm],144053 [mm],144056 [mm],144059 [mm],144062 [mm],144065 [mm],144068 [mm]
1,-6.7E-15,6.7E-15,-6.5E-15,-6.4E-15,-6.3E-15,-6.2E-15,-6.1E-15,-6E-15,-5.9E-15,-5.8E-15,-5.7E-15,-5.5E-15,-5.4E-15,-5.3E-15,-5.2E-15,-5.1E-15,-5E-15,-4.9E-15,-4.8E-15,-4.7E-15,-4.5E-15,-4.4E-15,-4.3E-15,-4.2E-15,-4.1E-15,-4E-15,-3.9E-15,-3.8E-15,-3.7E-15,-3.5E-15,-3.4E-15,-3.3E-15,-3.2E-15,-3.1E-15,-3E-15,-2.9E-15,-2.8E-15,-2.7E-15,-2.5E-15,-2.4E-15,-2.3E-15,-2.2E-15,-2.1E-15,-2E-15,-1.9E-15,-1.8E-15,-1.7E-15,-1.5E-15,-1.4E-15,-1.3E-15,-1.2E-15,-1.1E-15,-1E-15,-9E-16,-8E-16,-7E-16,-5E-16,-4E-16,-3E-16,-2E-16,-1E-16,0,1E-16,2E-16,3E-16,5E-16,6E-16,7E-16,8E-16,9E-16,1E-15,1.1E-15,1.2E-15,1.3E-15,1.5E-15,1.6E-15,1.7E-15,1.8E-15,1.9E-15,2E-15,2.1E-15,2.2E-15,2.3E-15,2.5E-15,2.6E-15,2.7E-15,2.8E-15,2.9E-15,3E-15,3.1E-15,3.2E-15,3.3E-15,3.5E-15,3.6E-15,3.7E-15,3.8E-15,3.9E-15,4E-15,4.1E-15,4.2E-15,4.3E-15,4.4E-15,4.6E-15,4.7E-15,4.8E-15,4.9E-15,5E-15,5.1E-15,5.2E-15,5.3E-15,5.4E-15,5.6E-15,5.7E-15,5.8E-15,5.9E-15,6E-15,6.1E-15,6.2E-15,6.3E-15,6.4E-15,6.6E-15,-6.6E-15,6.65E-15,-6.45E-15,-6.25E-15,-6.05E-15,-5.85E-15,-5.6E-15,-5.35E-15,-5.15E-15,-4.95E-15,-4.75E-15,-4.45E-15,-4.25E-15,-4.05E-15,-3.85E-15,-3.6E-15,-3.35E-15,-3.15E-15,-2.95E-15,-2.75E-15,-2.45E-15,-2.25E-15,-2.05E-15,-1.85E-15,-1.6E-15,-1.35E-15,-1.15E-15,-9.5E-16,-7.5E-16,-4.5E-16,-2.5E-16,-5E-17,1.5E-16,4E-16,6.5E-16,8.5E-16,1.05E-15,1.25E-15,1.55E-15,1.75E-15,1.95E-15,2.15E-15,2.4E-15,2.65E-15,2.85E-15,3.05E-15,3.25E-15,3.55E-15,3.75E-15,3.95E-15,4.15E-15,4.35E-15,4.65E-15,4.85E-15,5.05E-15,5.25E-15,5.5E-15,5.75E-15,5.95E-15,6.15E-15,6.35E-15,6.5E-15,-6.15E-15,-6.35E-15,-5.95E-15,-5.75E-15,-5.45E-15,-5.25E-15,-5.05E-15,-4.85E-15,-4.6E-15,-4.35E-15,-4.15E-15,-3.95E-15,-3.75E-15,-3.45E-15,-3.25E-15,-3.05E-15,-2.85E-15,-2.6E-15,-2.35E-15,-2.15E-15,-1.95E-15,-1.75E-15,-1.45E-15,-1.25E-15,-1.05E-15,-8.5E-16,-6E-16,-3.5E-16,-1.5E-16,5E-17,2.5E-16,5.5E-16,7.5E-16,9.5E-16,1.15E-15,1.4E-15,1.65E-15,1.85E-15,2.05E-15,2.25E-15,2.55E-15,2.75E-15,2.95E-15,3.15E-15,3.4E-15,3.65E-15,3.85E-15,4.05E-15,4.25E-15,4.5E-15,4.75E-15,4.95E-15,5.15E-15,5.35E-15,5.65E-15,5.85E-15,6.05E-15,6.25E-15
End component
History output component,gradient.COORDINATES.Y
Time [s] Frequency [Hz],67295 [mm],67297 [mm],68586 [mm],68587 [mm],68588 [mm],68589 [mm],68590 [mm],68591 [mm],68592 [mm],68593 [mm],68594 [mm],68595 [mm],68596 [mm],68597 [mm],68598 [mm],68599 [mm],68600 [mm],68601 [mm],68602 [mm],68603 [mm],68604 [mm],68605 [mm],68606 [mm],68607 [mm],68608 [mm],68609 [mm],68610 [mm],68611 [mm],68612 [mm],68613 [mm],68614 [mm],68615 [mm],68616 [mm],68617 [mm],68618 [mm],68619 [mm],68620 [mm],68621 [mm],68622 [mm],68623 [mm],68624 [mm],68625 [mm],68626 [mm],68627 [mm],68628 [mm],68629 [mm],68630 [mm],68631 [mm],68632 [mm],68633 [mm],68634 [mm],68635 [mm],68636 [mm],68637 [mm],68638 [mm],68639 [mm],68640 [mm],68641 [mm],68642 [mm],68643 [mm],68644 [mm],68645 [mm],68646 [mm],68647 [mm],68648 [mm],68649 [mm],68650 [mm],68651 [mm],68652 [mm],68653 [mm],68654 [mm],68655 [mm],68656 [mm],68657 [mm],68658 [mm],68659 [mm],68660 [mm],68661 [mm],68662 [mm],68663 [mm],68664 [mm],68665 [mm],68666 [mm],68667 [mm],68668 [mm],68669 [mm],68670 [mm],68671 [mm],68672 [mm],68673 [mm],68674 [mm],68675 [mm],68676 [mm],68677 [mm],68678 [mm],68679 [mm],68680 [mm],68681 [mm],68682 [mm],68683 [mm],68684 [mm],68685 [mm],68686 [mm],68687 [mm],68688 [mm],68689 [mm],68690 [mm],68691 [mm],68692 [mm],68693 [mm],68694 [mm],68695 [mm],68696 [mm],68697 [mm],68698 [mm],68699 [mm],68700 [mm],68701 [mm],68702 [mm],68703 [mm],68704 [mm],142971 [mm],143516 [mm],143518 [mm],143521 [mm],143524 [mm],143527 [mm],143530 [mm],143533 [mm],143536 [mm],143539 [mm],143542 [mm],143545 [mm],143548 [mm],143551 [mm],143554 [mm],143557 [mm],143560 [mm],143563 [mm],143566 [mm],143569 [mm],143572 [mm],143575 [mm],143578 [mm],143581 [mm],143584 [mm],143587 [mm],143590 [mm],143593 [mm],143596 [mm],143599 [mm],143602 [mm],143605 [mm],143608 [mm],143611 [mm],143614 [mm],143617 [mm],143620 [mm],143623 [mm],143626 [mm],143629 [mm],143632 [mm],143635 [mm],143638 [mm],143641 [mm],143644 [mm],143647 [mm],143650 [mm],143653 [mm],143656 [mm],143659 [mm],143662 [mm],143665 [mm],143668 [mm],143671 [mm],143674 [mm],143677 [mm],143680 [mm],143683 [mm],143686 [mm],143689 [mm],143692 [mm],143695 [mm],143895 [mm],143899 [mm],143903 [mm],143906 [mm],143909 [mm],143912 [mm],143915 [mm],143918 [mm],143921 [mm],143924 [mm],143927 [mm],143930 [mm],143933 [mm],143936 [mm],143939 [mm],143942 [mm],143945 [mm],143948 [mm],143951 [mm],143954 [mm],143957 [mm],143960 [mm],143963 [mm],143966 [mm],143969 [mm],143972 [mm],143975 [mm],143978 [mm],143981 [mm],143984 [mm],143987 [mm],143990 [mm],143993 [mm],143996 [mm],143999 [mm],144002 [mm],144005 [mm],144008 [mm],144011 [mm],144014 [mm],144017 [mm],144020 [mm],144023 [mm],144026 [mm],144029 [mm],144032 [mm],144035 [mm],144038 [mm],144041 [mm],144044 [mm],144047 [mm],144050 [mm],144053 [mm],144056 [mm],144059 [mm],144062 [mm],144065 [mm],144068 [mm]
1,30,-30,29.46,28.98,28.5,27.96,27.48,27,26.46,25.98,25.5,24.96,24.48,24,23.46,22.98,22.5,21.96,21.48,21,20.46,19.98,19.5,18.96,18.48,18,17.46,16.98,16.5,15.96,15.48,15,14.46,13.98,13.5,12.96,12.48,12,11.46,10.98,10.5,9.96,9.48,9,8.46,7.98,7.5,6.96,6.48,6,5.46,4.98,4.5,3.96,3.48,3,2.46,1.98,1.5,0.96,0.48,0,-0.54,-1.02,-1.5,-2.04,-2.52,-3,-3.54,-4.02,-4.5,-5.04,-5.52,-6,-6.54,-7.02,-7.5,-8.04,-8.52,-9,-9.54,-10.02,-10.5,-11.04,-11.52,-12,-12.54,-13.02,-13.5,-14.04,-14.52,-15,-15.54,-16.02,-16.5,-17.04,-17.52,-18,-18.54,-19.02,-19.5,-20.04,-20.52,-21,-21.54,-22.02,-22.5,-23.04,-23.52,-24,-24.54,-25.02,-25.5,-26.04,-26.52,-27,-27.54,-28.02,-28.5,-29.04,-29.52,29.73,-29.76,29.22,28.23,27.24,26.22,25.23,24.24,23.22,22.23,21.24,20.22,19.23,18.24,17.22,16.23,15.24,14.22,13.23,12.24,11.22,10.23,9.24,8.22,7.23,6.24,5.22,4.23,3.24,2.22,1.23,0.24,-0.78,-1.77,-2.76,-3.78,-4.77,-5.76,-6.78,-7.77,-8.76,-9.78,-10.77,-11.76,-12.78,-13.77,-14.76,-15.78,-16.77,-17.76,-18.78,-19.77,-20.76,-21.78,-22.77,-23.76,-24.78,-25.77,-26.76,-27.78,-28.77,-29.28,27.72,28.74,26.73,25.74,24.72,23.73,22.74,21.72,20.73,19.74,18.72,17.73,16.74,15.72,14.73,13.74,12.72,11.73,10.74,9.72,8.73,7.74,6.72,5.73,4.74,3.72,2.73,1.74,0.72,-0.27,-1.26,-2.28,-3.27,-4.26,-5.28,-6.27,-7.26,-8.28,-9.27,-10.26,-11.28,-12.27,-13.26,-14.28,-15.27,-16.26,-17.28,-18.27,-19.26,-20.28,-21.27,-22.26,-23.28,-24.27,-25.26,-26.28,-27.27,-28.26
End component
History output component,gradient.COORDINATES.Z
Time [s] Frequency [Hz],67295 [mm],67297 [mm],68586 [mm],68587 [mm],68588 [mm],68589 [mm],68590 [mm],68591 [mm],68592 [mm],68593 [mm],68594 [mm],68595 [mm],68596 [mm],68597 [mm],68598 [mm],68599 [mm],68600 [mm],68601 [mm],68602 [mm],68603 [mm],68604 [mm],68605 [mm],68606 [mm],68607 [mm],68608 [mm],68609 [mm],68610 [mm],68611 [mm],68612 [mm],68613 [mm],68614 [mm],68615 [mm],68616 [mm],68617 [mm],68618 [mm],68619 [mm],68620 [mm],68621 [mm],68622 [mm],68623 [mm],68624 [mm],68625 [mm],68626 [mm],68627 [mm],68628 [mm],68629 [mm],68630 [mm],68631 [mm],68632 [mm],68633 [mm],68634 [mm],68635 [mm],68636 [mm],68637 [mm],68638 [mm],68639 [mm],68640 [mm],68641 [mm],68642 [mm],68643 [mm],68644 [mm],68645 [mm],68646 [mm],68647 [mm],68648 [mm],68649 [mm],68650 [mm],68651 [mm],68652 [mm],68653 [mm],68654 [mm],68655 [mm],68656 [mm],68657 [mm],68658 [mm],68659 [mm],68660 [mm],68661 [mm],68662 [mm],68663 [mm],68664 [mm],68665 [mm],68666 [mm],68667 [mm],68668 [mm],68669 [mm],68670 [mm],68671 [mm],68672 [mm],68673 [mm],68674 [mm],68675 [mm],68676 [mm],68677 [mm],68678 [mm],68679 [mm],68680 [mm],68681 [mm],68682 [mm],68683 [mm],68684 [mm],68685 [mm],68686 [mm],68687 [mm],68688 [mm],68689 [mm],68690 [mm],68691 [mm],68692 [mm],68693 [mm],68694 [mm],68695 [mm],68696 [mm],68697 [mm],68698 [mm],68699 [mm],68700 [mm],68701 [mm],68702 [mm],68703 [mm],68704 [mm],142971 [mm],143516 [mm],143518 [mm],143521 [mm],143524 [mm],143527 [mm],143530 [mm],143533 [mm],143536 [mm],143539 [mm],143542 [mm],143545 [mm],143548 [mm],143551 [mm],143554 [mm],143557 [mm],143560 [mm],143563 [mm],143566 [mm],143569 [mm],143572 [mm],143575 [mm],143578 [mm],143581 [mm],143584 [mm],143587 [mm],143590 [mm],143593 [mm],143596 [mm],143599 [mm],143602 [mm],143605 [mm],143608 [mm],143611 [mm],143614 [mm],143617 [mm],143620 [mm],143623 [mm],143626 [mm],143629 [mm],143632 [mm],143635 [mm],143638 [mm],143641 [mm],143644 [mm],143647 [mm],143650 [mm],143653 [mm],143656 [mm],143659 [mm],143662 [mm],143665 [mm],143668 [mm],143671 [mm],143674 [mm],143677 [mm],143680 [mm],143683 [mm],143686 [mm],143689 [mm],143692 [mm],143695 [mm],143895 [mm],143899 [mm],143903 [mm],143906 [mm],143909 [mm],143912 [mm],143915 [mm],143918 [mm],143921 [mm],143924 [mm],143927 [mm],143930 [mm],143933 [mm],143936 [mm],143939 [mm],143942 [mm],143945 [mm],143948 [mm],143951 [mm],143954 [mm],143957 [mm],143960 [mm],143963 [mm],143966 [mm],143969 [mm],143972 [mm],143975 [mm],143978 [mm],143981 [mm],143984 [mm],143987 [mm],143990 [mm],143993 [mm],143996 [mm],143999 [mm],144002 [mm],144005 [mm],144008 [mm],144011 [mm],144014 [mm],144017 [mm],144020 [mm],144023 [mm],144026 [mm],144029 [mm],144032 [mm],144035 [mm],144038 [mm],144041 [mm],144044 [mm],144047 [mm],144050 [mm],144053 [mm],144056 [mm],144059 [mm],144062 [mm],144065 [mm],144068 [mm]
1,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
End component
