True Wavelength,Predicted Wavelength,Noise Level,Absolute Error,Relative Error (%),Trial
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,0
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,1
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,2
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,3
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,4
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,5
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,6
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,7
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,8
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,9
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,10
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,11
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,12
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,13
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,14
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,15
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,16
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,17
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,18
250.0,262.49729327519617,0.0,12.49729327519617,4.998917310078468,19
250.0,177.04929628491115,0.01,72.95070371508885,29.180281486035543,0
250.0,236.20802073305086,0.01,13.791979266949141,5.516791706779657,1
250.0,270.18232923462296,0.01,20.182329234622955,8.072931693849181,2
250.0,68.22213814881243,0.01,181.77786185118757,72.71114474047504,3
250.0,238.5890842662193,0.01,11.410915733780712,4.564366293512285,4
250.0,286.350153369146,0.01,36.35015336914603,14.540061347658412,5
250.0,71.5759241174373,0.01,178.4240758825627,71.36963035302509,6
250.0,267.0158730419521,0.01,17.01587304195209,6.806349216780837,7
250.0,152.11534552786904,0.01,97.88465447213096,39.15386178885238,8
250.0,285.2744665587566,0.01,35.274466558756615,14.109786623502647,9
250.0,171.57679970242677,0.01,78.42320029757323,31.36928011902929,10
250.0,168.15026268469654,0.01,81.84973731530346,32.73989492612138,11
250.0,235.4795767759587,0.01,14.52042322404131,5.808169289616524,12
250.0,251.272707363322,0.01,1.272707363322013,0.5090829453288052,13
250.0,244.72883072764188,0.01,5.271169272358122,2.108467708943249,14
250.0,350.5141909741417,0.01,100.51419097414168,40.205676389656674,15
250.0,239.06641655500047,0.01,10.933583444999528,4.3734333779998105,16
250.0,157.2633918007269,0.01,92.73660819927309,37.09464327970924,17
250.0,100.720128056863,0.01,149.27987194313698,59.7119487772548,18
250.0,239.4684862810014,0.01,10.53151371899861,4.212605487599444,19
250.0,280.7309966755338,0.02,30.730996675533788,12.292398670213515,0
250.0,249.4084911781843,0.02,0.5915088218156939,0.23660352872627755,1
250.0,255.26980958395305,0.02,5.269809583953048,2.107923833581219,2
250.0,339.87289839361296,0.02,89.87289839361296,35.94915935744518,3
250.0,185.87871160861383,0.02,64.12128839138617,25.64851535655447,4
250.0,196.3564517258964,0.02,53.64354827410361,21.45741930964144,5
250.0,4.393440757444626,0.02,245.60655924255536,98.24262369702214,6
250.0,142.9715374856054,0.02,107.02846251439459,42.811385005757835,7
250.0,300.1225193920826,0.02,50.12251939208261,20.049007756833042,8
250.0,216.1685561549148,0.02,33.831443845085204,13.532577538034083,9
250.0,166.30321356073512,0.02,83.69678643926488,33.47871457570595,10
250.0,97.75507225137774,0.02,152.24492774862227,60.89797109944891,11
250.0,236.95948093872386,0.02,13.040519061276143,5.216207624510457,12
250.0,36.80897279110991,0.02,213.1910272088901,85.27641088355604,13
250.0,184.89222404305423,0.02,65.10777595694577,26.043110382778313,14
250.0,269.6795694435276,0.02,19.679569443527612,7.871827777411045,15
250.0,304.4577136874796,0.02,54.45771368747961,21.783085474991847,16
250.0,214.8851019655337,0.02,35.11489803446631,14.045959213786524,17
250.0,-65.3796834027578,0.02,315.3796834027578,126.15187336110311,18
250.0,319.8304285911674,0.02,69.83042859116739,27.93217143646696,19
250.0,562.2981498216964,0.05,312.29814982169637,124.91925992867854,0
250.0,152.97959403085383,0.05,97.02040596914617,38.80816238765847,1
250.0,59.043376100704485,0.05,190.95662389929552,76.3826495597182,2
250.0,248.40593659832356,0.05,1.5940634016764363,0.6376253606705745,3
250.0,256.3711628899005,0.05,6.371162889900518,2.548465155960207,4
250.0,275.7116958604066,0.05,25.71169586040662,10.284678344162648,5
250.0,158.6183185418877,0.05,91.3816814581123,36.55267258324491,6
250.0,-165.5094979642164,0.05,415.5094979642164,166.20379918568656,7
250.0,221.51121674771133,0.05,28.48878325228867,11.395513300915468,8
250.0,236.71664633112943,0.05,13.283353668870575,5.31334146754823,9
250.0,259.26514347293465,0.05,9.265143472934653,3.7060573891738615,10
250.0,318.0408005425549,0.05,68.0408005425549,27.21632021702196,11
250.0,240.82343645346032,0.05,9.176563546539683,3.670625418615873,12
250.0,-253.9281038735758,0.05,503.92810387357576,201.5712415494303,13
250.0,-12.015137996021055,0.05,262.01513799602105,104.80605519840842,14
250.0,413.46496049140904,0.05,163.46496049140904,65.38598419656361,15
250.0,311.5567086306397,0.05,61.55670863063972,24.622683452255885,16
250.0,323.81053870405276,0.05,73.81053870405276,29.524215481621102,17
250.0,466.3941357278395,0.05,216.3941357278395,86.5576542911358,18
250.0,298.14249685350893,0.05,48.14249685350893,19.25699874140357,19
250.0,-37.80582210309347,0.1,287.8058221030935,115.12232884123739,0
250.0,-29.630636349622524,0.1,279.63063634962253,111.85225453984901,1
250.0,570.8015081102399,0.1,320.80150811023987,128.32060324409596,2
250.0,93.31232813162885,0.1,156.68767186837115,62.67506874734846,3
250.0,-282.15678959457074,0.1,532.1567895945707,212.86271583782826,4
250.0,-225.06159626306572,0.1,475.0615962630657,190.02463850522628,5
250.0,-48.58797253693502,0.1,298.587972536935,119.43518901477401,6
250.0,217.74639078464733,0.1,32.25360921535267,12.901443686141068,7
250.0,280.94153898069425,0.1,30.941538980694247,12.376615592277698,8
250.0,515.9343866889172,0.1,265.93438668891724,106.37375467556689,9
250.0,-170.19381060754094,0.1,420.19381060754097,168.0775242430164,10
250.0,270.08405238630087,0.1,20.08405238630087,8.033620954520346,11
250.0,-21.581663597466754,0.1,271.58166359746673,108.63266543898669,12
250.0,69.65730474989992,0.1,180.34269525010006,72.13707810004003,13
250.0,21.37743359391542,0.1,228.6225664060846,91.44902656243383,14
250.0,311.721161148098,0.1,61.72116114809802,24.688464459239206,15
250.0,257.0762350893693,0.1,7.076235089369277,2.830494035747711,16
250.0,291.6034170745848,0.1,41.6034170745848,16.64136682983392,17
250.0,304.1909583923438,0.1,54.190958392343816,21.676383356937524,18
250.0,-58.11498349026073,0.1,308.1149834902607,123.2459933961043,19
250.0,19.65993241691095,0.2,230.34006758308905,92.13602703323562,0
250.0,285.7566253362131,0.2,35.75662533621312,14.302650134485248,1
250.0,230.90291135437923,0.2,19.097088645620772,7.63883545824831,2
250.0,182.47966256549168,0.2,67.52033743450832,27.008134973803326,3
250.0,293.07799108069474,0.2,43.077991080694744,17.231196432277898,4
250.0,624.6742148723264,0.2,374.6742148723264,149.86968594893057,5
250.0,-105.23614670670636,0.2,355.23614670670634,142.09445868268253,6
250.0,137.76034633293102,0.2,112.23965366706898,44.89586146682759,7
250.0,56.197788053668994,0.2,193.802211946331,77.52088477853239,8
250.0,993.8774878685562,0.2,743.8774878685562,297.55099514742244,9
250.0,-116.20991185310389,0.2,366.2099118531039,146.48396474124158,10
250.0,1073.20401991896,0.2,823.2040199189601,329.281607967584,11
250.0,66.6284348994418,0.2,183.3715651005582,73.34862604022328,12
250.0,190.5818198205608,0.2,59.41818017943919,23.767272071775675,13
250.0,-216.28087818979304,0.2,466.28087818979304,186.5123512759172,14
250.0,493.62010132972836,0.2,243.62010132972836,97.44804053189135,15
250.0,5.88845806340802,0.2,244.11154193659198,97.64461677463679,16
250.0,87.23115596499086,0.2,162.76884403500912,65.10753761400365,17
250.0,-228.12555813634265,0.2,478.12555813634265,191.25022325453708,18
250.0,37.219089857244384,0.2,212.7809101427556,85.11236405710224,19
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,0
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,1
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,2
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,3
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,4
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,5
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,6
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,7
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,8
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,9
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,10
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,11
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,12
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,13
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,14
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,15
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,16
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,17
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,18
500.0,498.36751913245473,0.0,1.6324808675452687,0.32649617350905374,19
500.0,448.55221975526956,0.01,51.44778024473044,10.289556048946087,0
500.0,445.15194544238653,0.01,54.848054557613466,10.969610911522693,1
500.0,429.58995502691977,0.01,70.41004497308023,14.082008994616046,2
500.0,609.7712201302852,0.01,109.7712201302852,21.95424402605704,3
500.0,430.2471448625226,0.01,69.75285513747741,13.950571027495482,4
500.0,516.0020506177941,0.01,16.00205061779411,3.2004101235588225,5
500.0,458.1421636539297,0.01,41.857836346070314,8.371567269214063,6
500.0,388.4301235498344,0.01,111.56987645016562,22.313975290033124,7
500.0,396.84900767973903,0.01,103.15099232026097,20.630198464052192,8
500.0,619.5921709289915,0.01,119.59217092899155,23.91843418579831,9
500.0,432.6523060098945,0.01,67.34769399010548,13.469538798021096,10
500.0,480.69135992878677,0.01,19.308640071213233,3.8617280142426464,11
500.0,582.7542522639787,0.01,82.75425226397874,16.55085045279575,12
500.0,425.1576705589242,0.01,74.84232944107578,14.968465888215155,13
500.0,592.3674173083258,0.01,92.3674173083258,18.47348346166516,14
500.0,451.2235872321672,0.01,48.776412767832824,9.755282553566564,15
500.0,418.1539078289864,0.01,81.8460921710136,16.369218434202722,16
500.0,500.4310408893356,0.01,0.43104088933557705,0.08620817786711542,17
500.0,451.26221415256117,0.01,48.73778584743883,9.747557169487765,18
500.0,586.9763889172243,0.01,86.97638891722431,17.39527778344486,19
500.0,418.96999128776525,0.02,81.03000871223475,16.206001742446947,0
500.0,456.5891313979535,0.02,43.41086860204649,8.682173720409299,1
500.0,414.9163500483559,0.02,85.08364995164408,17.016729990328816,2
500.0,409.46825836265634,0.02,90.53174163734366,18.106348327468734,3
500.0,575.4475020773601,0.02,75.44750207736013,15.089500415472026,4
500.0,454.1746935771112,0.02,45.82530642288879,9.165061284577758,5
500.0,401.99580465831576,0.02,98.00419534168424,19.600839068336846,6
500.0,480.58830657659877,0.02,19.411693423401232,3.882338684680246,7
500.0,639.0806450347316,0.02,139.08064503473156,27.816129006946312,8
500.0,431.41345551232456,0.02,68.58654448767544,13.717308897535089,9
500.0,563.933591528842,0.02,63.933591528842044,12.786718305768407,10
500.0,549.1199525790902,0.02,49.11995257909018,9.823990515818036,11
500.0,606.3620726243853,0.02,106.36207262438529,21.27241452487706,12
500.0,419.13311623719943,0.02,80.86688376280057,16.173376752560113,13
500.0,503.80830516271993,0.02,3.8083051627199325,0.7616610325439864,14
500.0,511.3719483755656,0.02,11.37194837556558,2.274389675113116,15
500.0,468.9494133612931,0.02,31.050586638706875,6.210117327741375,16
500.0,627.0838111342936,0.02,127.08381113429357,25.416762226858715,17
500.0,619.155887171675,0.02,119.15588717167498,23.831177434334997,18
500.0,438.97314785519615,0.02,61.026852144803854,12.205370428960771,19
500.0,422.30050004475675,0.05,77.69949995524325,15.53989999104865,0
500.0,404.8453454908382,0.05,95.15465450916179,19.030930901832356,1
500.0,206.65011775551736,0.05,293.3498822444826,58.66997644889652,2
500.0,401.4624831721163,0.05,98.53751682788368,19.707503365576738,3
500.0,548.586713069946,0.05,48.58671306994597,9.717342613989194,4
500.0,720.2546682508612,0.05,220.2546682508612,44.05093365017223,5
500.0,341.92962602233104,0.05,158.07037397766896,31.614074795533792,6
500.0,277.7588185637655,0.05,222.2411814362345,44.4482362872469,7
500.0,682.7507640636186,0.05,182.7507640636186,36.55015281272372,8
500.0,390.27300951590365,0.05,109.72699048409635,21.945398096819268,9
500.0,385.0897823320026,0.05,114.91021766799741,22.982043533599484,10
500.0,620.484903646788,0.05,120.48490364678798,24.096980729357597,11
500.0,413.81791409829884,0.05,86.18208590170116,17.236417180340233,12
500.0,284.3564957337326,0.05,215.64350426626743,43.12870085325349,13
500.0,570.4226926450749,0.05,70.4226926450749,14.084538529014981,14
500.0,469.0540204718781,0.05,30.94597952812188,6.189195905624376,15
500.0,650.9908237573499,0.05,150.99082375734986,30.198164751469967,16
500.0,647.3335111972589,0.05,147.33351119725887,29.466702239451774,17
500.0,441.7544188403451,0.05,58.245581159654876,11.649116231930975,18
500.0,204.9291094193253,0.05,295.0708905806747,59.01417811613494,19
500.0,96.65804182719627,0.1,403.34195817280374,80.66839163456075,0
500.0,360.0586583471002,0.1,139.94134165289978,27.988268330579956,1
500.0,484.24139722380573,0.1,15.758602776194266,3.151720555238853,2
500.0,464.08775135019323,0.1,35.91224864980677,7.182449729961355,3
500.0,504.12578844592696,0.1,4.125788445926958,0.8251576891853916,4
500.0,546.8904582348326,0.1,46.890458234832636,9.378091646966528,5
500.0,227.54201561384966,0.1,272.4579843861503,54.491596877230066,6
500.0,385.902097755348,0.1,114.097902244652,22.819580448930402,7
500.0,156.4026834215354,0.1,343.59731657846464,68.71946331569293,8
500.0,319.36795844533293,0.1,180.63204155466707,36.126408310933414,9
500.0,329.82120243029317,0.1,170.17879756970683,34.035759513941365,10
500.0,345.50820614705,0.1,154.49179385295002,30.898358770590008,11
500.0,381.9320328664969,0.1,118.06796713350309,23.613593426700618,12
500.0,347.13920812380843,0.1,152.86079187619157,30.572158375238313,13
500.0,243.3279339692947,0.1,256.6720660307053,51.33441320614106,14
500.0,161.14277616100276,0.1,338.85722383899724,67.77144476779945,15
500.0,262.5541624008831,0.1,237.44583759911689,47.489167519823376,16
500.0,741.0500261827295,0.1,241.05002618272954,48.2100052365459,17
500.0,114.29275812242427,0.1,385.7072418775757,77.14144837551514,18
500.0,157.28247733192924,0.1,342.7175226680707,68.54350453361414,19
500.0,1042.2309291241647,0.2,542.2309291241647,108.44618582483294,0
500.0,279.57292025051,0.2,220.42707974949002,44.08541594989801,1
500.0,305.90231495468316,0.2,194.09768504531684,38.81953700906337,2
500.0,125.61966142996337,0.2,374.38033857003666,74.87606771400733,3
500.0,122.54805408505888,0.2,377.4519459149411,75.49038918298822,4
500.0,336.8007871764302,0.2,163.19921282356978,32.63984256471396,5
500.0,799.945148829435,0.2,299.94514882943497,59.98902976588699,6
500.0,217.17369585571996,0.2,282.82630414428,56.565260828856,7
500.0,380.2515941269396,0.2,119.74840587306039,23.949681174612078,8
500.0,295.00805079949464,0.2,204.99194920050536,40.998389840101076,9
500.0,194.32511172787852,0.2,305.6748882721215,61.134977654424304,10
500.0,57.107291808342076,0.2,442.8927081916579,88.57854163833157,11
500.0,252.733092403601,0.2,247.266907596399,49.4533815192798,12
500.0,419.273867440418,0.2,80.72613255958203,16.145226511916405,13
500.0,17.22155802922426,0.2,482.77844197077576,96.55568839415515,14
500.0,360.554970889471,0.2,139.445029110529,27.8890058221058,15
500.0,48.69930826344512,0.2,451.3006917365549,90.26013834731098,16
500.0,-78.01758889443538,0.2,578.0175888944353,115.60351777888707,17
500.0,25.40143839766429,0.2,474.59856160233574,94.91971232046714,18
500.0,-66.30772851779938,0.2,566.3077285177994,113.26154570355989,19
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,0
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,1
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,2
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,3
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,4
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,5
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,6
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,7
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,8
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,9
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,10
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,11
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,12
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,13
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,14
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,15
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,16
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,17
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,18
750.0,740.0626438199545,0.0,9.937356180045526,1.3249808240060703,19
750.0,728.7797689116611,0.01,21.220231088338892,2.8293641451118523,0
750.0,734.4467131904753,0.01,15.553286809524707,2.0737715746032945,1
750.0,738.8994326691849,0.01,11.100567330815124,1.480075644108683,2
750.0,721.3186770580872,0.01,28.681322941912754,3.824176392255034,3
750.0,729.2542164487841,0.01,20.745783551215936,2.7661044734954583,4
750.0,740.8951852090008,0.01,9.104814790999171,1.213975305466556,5
750.0,665.0617306015762,0.01,84.93826939842381,11.325102586456508,6
750.0,739.6925333580665,0.01,10.307466641933502,1.3743288855911335,7
750.0,731.0657865324936,0.01,18.934213467506424,2.5245617956675233,8
750.0,733.3805235920711,0.01,16.619476407928914,2.2159301877238553,9
750.0,726.2918585013986,0.01,23.708141498601435,3.161085533146858,10
750.0,730.3957001155183,0.01,19.604299884481748,2.613906651264233,11
750.0,702.9165766897576,0.01,47.08342331024244,6.2777897746989915,12
750.0,734.4555950380776,0.01,15.544404961922396,2.0725873282563194,13
750.0,758.5703504692423,0.01,8.570350469242271,1.1427133958989695,14
750.0,744.1682221486465,0.01,5.831777851353536,0.7775703801804714,15
750.0,742.3115251461586,0.01,7.688474853841399,1.0251299805121865,16
750.0,751.2744260621205,0.01,1.274426062120483,0.16992347494939772,17
750.0,711.0232021089495,0.01,38.97679789105052,5.196906385473403,18
750.0,741.0814952296913,0.01,8.918504770308687,1.1891339693744916,19
750.0,666.1921424983075,0.02,83.80785750169252,11.174381000225669,0
750.0,597.161455661846,0.02,152.83854433815395,20.378472578420524,1
750.0,744.5679148877974,0.02,5.4320851122025715,0.7242780149603428,2
750.0,719.5295735436588,0.02,30.470426456341215,4.062723527512162,3
750.0,750.0250165469921,0.02,0.02501654699210576,0.003335539598947435,4
750.0,470.27226185612324,0.02,279.72773814387676,37.2970317525169,5
750.0,751.060805081923,0.02,1.0608050819230357,0.14144067758973808,6
750.0,732.8461902362118,0.02,17.153809763788217,2.287174635171762,7
750.0,741.0837033629737,0.02,8.916296637026335,1.1888395516035113,8
750.0,709.0423443162106,0.02,40.957655683789426,5.4610207578385905,9
750.0,652.2063753032605,0.02,97.79362469673947,13.039149959565263,10
750.0,728.4918904758292,0.02,21.508109524170777,2.8677479365561034,11
750.0,694.8910521085911,0.02,55.10894789140889,7.347859718854519,12
750.0,635.5678758184218,0.02,114.43212418157816,15.257616557543754,13
750.0,711.864655513815,0.02,38.13534448618498,5.084712598157997,14
750.0,728.9881325609637,0.02,21.011867439036337,2.801582325204845,15
750.0,724.8654727246712,0.02,25.134527275328765,3.3512703033771682,16
750.0,724.7597189304715,0.02,25.240281069528464,3.3653708092704617,17
750.0,733.6611922308142,0.02,16.33880776918579,2.1785077025581057,18
750.0,734.0834603100518,0.02,15.916539689948195,2.1222052919930925,19
750.0,731.5390076814838,0.05,18.46099231851622,2.461465642468829,0
